eval_scope,src_char,tgt_char,raw_count,sub_train_count,sub_train_delta,joint_train_count,joint_train_delta
pilot_focus_105,8,6,10,9,-1,9,-1
pilot_focus_105,5,8,5,4,-1,3,-2
pilot_focus_105,0,1,4,7,3,5,1
pilot_focus_105,1,8,4,2,-2,2,-2
pilot_focus_105,1,7,3,3,0,3,0
pilot_focus_105,1,0,3,5,2,6,3
pilot_focus_105,7,1,3,3,0,3,0
pilot_focus_105,3,8,3,3,0,3,0
pilot_focus_105,0,8,3,0,-3,1,-2
pilot_focus_105,9,5,3,2,-1,2,-1
pilot_focus_105,6,8,3,3,0,3,0
pilot_focus_105,6,0,3,4,1,4,1
pilot_focus_105,8,3,3,1,-2,2,-1
pilot_focus_105,腾,鹏,2,2,0,1,-1
pilot_focus_105,9,3,2,1,-1,0,-2
pilot_focus_105,2,9,2,2,0,2,0
pilot_focus_105,8,9,2,2,0,2,0
pilot_focus_105,3,6,2,2,0,2,0
pilot_focus_105,0,9,2,2,0,2,0
pilot_focus_105,盛,胜,2,2,0,2,0
pilot_focus_105,8,7,2,2,0,1,-1
pilot_focus_105,台,金,2,2,0,2,0
pilot_focus_105,H,T,2,2,0,2,0
pilot_focus_105,3,5,2,2,0,2,0
pilot_focus_105,杭,姚,2,2,0,2,0
full_unified_6884,6,8,54,47,-7,52,-2
full_unified_6884,8,6,51,51,0,46,-5
full_unified_6884,9,8,40,25,-15,30,-10
full_unified_6884,8,9,25,31,6,32,7
full_unified_6884,5,6,24,18,-6,22,-2
full_unified_6884,1,8,22,21,-1,17,-5
full_unified_6884,0,8,21,20,-1,21,0
full_unified_6884,0,1,21,28,7,23,2
full_unified_6884,1,0,21,21,0,25,4
full_unified_6884,0,9,21,24,3,21,0
full_unified_6884,5,8,20,22,2,20,0
full_unified_6884,3,8,18,20,2,18,0
full_unified_6884,0,6,17,17,0,18,1
full_unified_6884,1,6,17,10,-7,14,-3
full_unified_6884,9,0,16,28,12,24,8
full_unified_6884,8,1,16,14,-2,16,0
full_unified_6884,6,0,15,19,4,16,1
full_unified_6884,8,3,13,8,-5,13,0
full_unified_6884,I,G,13,14,1,13,0
full_unified_6884,U,N,12,12,0,14,2
full_unified_6884,2,0,12,10,-2,8,-4
full_unified_6884,9,6,12,18,6,16,4
full_unified_6884,A,U,12,13,1,15,3
full_unified_6884,7,1,12,11,-1,10,-2
full_unified_6884,Y,H,12,8,-4,12,0
