eval_scope,model_tag,subset_name,subset_value,op_type,count,per_sample
pilot_focus_105,baseline_raw,overall,all,replace,193,1.838095238095238
pilot_focus_105,baseline_raw,overall,all,insert,18,0.17142857142857143
pilot_focus_105,baseline_raw,overall,all,delete,19,0.18095238095238095
pilot_focus_105,baseline_raw,replace_position,head,replace,68,0.6476190476190476
pilot_focus_105,baseline_raw,replace_position,middle,replace,55,0.5238095238095238
pilot_focus_105,baseline_raw,replace_position,tail,replace,70,0.6666666666666666
pilot_focus_105,m04_final_raw,overall,all,replace,198,1.8857142857142857
pilot_focus_105,m04_final_raw,overall,all,insert,4,0.0380952380952381
pilot_focus_105,m04_final_raw,overall,all,delete,25,0.23809523809523808
pilot_focus_105,m04_final_raw,replace_position,head,replace,77,0.7333333333333333
pilot_focus_105,m04_final_raw,replace_position,middle,replace,52,0.49523809523809526
pilot_focus_105,m04_final_raw,replace_position,tail,replace,69,0.6571428571428571
pilot_focus_105,m06_sub_train,overall,all,replace,195,1.8571428571428572
pilot_focus_105,m06_sub_train,overall,all,insert,20,0.19047619047619047
pilot_focus_105,m06_sub_train,overall,all,delete,44,0.41904761904761906
pilot_focus_105,m06_sub_train,replace_position,head,replace,76,0.7238095238095238
pilot_focus_105,m06_sub_train,replace_position,middle,replace,52,0.49523809523809526
pilot_focus_105,m06_sub_train,replace_position,tail,replace,67,0.638095238095238
pilot_focus_105,m06_joint_train,overall,all,replace,192,1.8285714285714285
pilot_focus_105,m06_joint_train,overall,all,insert,22,0.20952380952380953
pilot_focus_105,m06_joint_train,overall,all,delete,43,0.4095238095238095
pilot_focus_105,m06_joint_train,replace_position,head,replace,73,0.6952380952380952
pilot_focus_105,m06_joint_train,replace_position,middle,replace,54,0.5142857142857142
pilot_focus_105,m06_joint_train,replace_position,tail,replace,65,0.6190476190476191
full_unified_6884,baseline_raw,overall,all,replace,2276,0.3306217315514236
full_unified_6884,baseline_raw,overall,all,insert,2240,0.3253922138291691
full_unified_6884,baseline_raw,overall,all,delete,1920,0.2789076118535735
full_unified_6884,baseline_raw,replace_position,head,replace,883,0.12826844857640907
full_unified_6884,baseline_raw,replace_position,middle,replace,655,0.09514816966879722
full_unified_6884,baseline_raw,replace_position,tail,replace,738,0.10720511330621732
full_unified_6884,m04_final_raw,overall,all,replace,2347,0.34093550261475886
full_unified_6884,m04_final_raw,overall,all,insert,2394,0.34776292852992446
full_unified_6884,m04_final_raw,overall,all,delete,1702,0.24723997675769901
full_unified_6884,m04_final_raw,replace_position,head,replace,908,0.13190005810575248
full_unified_6884,m04_final_raw,replace_position,middle,replace,678,0.09848925043579314
full_unified_6884,m04_final_raw,replace_position,tail,replace,761,0.11054619407321324
full_unified_6884,m06_sub_train,overall,all,replace,2410,0.35008715862870426
full_unified_6884,m06_sub_train,overall,all,insert,2278,0.3309122603137711
full_unified_6884,m06_sub_train,overall,all,delete,1938,0.28152237071470076
full_unified_6884,m06_sub_train,replace_position,head,replace,972,0.1411969785008716
full_unified_6884,m06_sub_train,replace_position,middle,replace,665,0.09660081348053458
full_unified_6884,m06_sub_train,replace_position,tail,replace,773,0.11228936664729808
full_unified_6884,m06_joint_train,overall,all,replace,2420,0.3515398024404416
full_unified_6884,m06_joint_train,overall,all,insert,2349,0.34122603137710633
full_unified_6884,m06_joint_train,overall,all,delete,1866,0.2710633352701918
full_unified_6884,m06_joint_train,replace_position,head,replace,981,0.1425043579314352
full_unified_6884,m06_joint_train,replace_position,middle,replace,656,0.09529343404997094
full_unified_6884,m06_joint_train,replace_position,tail,replace,783,0.11374201045903544
