stage_variant,source_model_tag,eval_scope,subset_name,subset_value,op_type,count,per_sample
baseline,baseline_raw,focus_pilot_105,overall,all,delete,19,0.18095238095238095
baseline,baseline_raw,focus_pilot_105,overall,all,insert,18,0.17142857142857143
baseline,baseline_raw,focus_pilot_105,overall,all,replace,193,1.838095238095238
baseline,baseline_raw,focus_pilot_105,replace_position,head,replace,68,0.6476190476190476
baseline,baseline_raw,focus_pilot_105,replace_position,middle,replace,55,0.5238095238095238
baseline,baseline_raw,focus_pilot_105,replace_position,tail,replace,70,0.6666666666666666
m04_final,m04_final_raw,focus_pilot_105,overall,all,delete,25,0.23809523809523808
m04_final,m04_final_raw,focus_pilot_105,overall,all,insert,4,0.0380952380952381
m04_final,m04_final_raw,focus_pilot_105,overall,all,replace,198,1.8857142857142857
m04_final,m04_final_raw,focus_pilot_105,replace_position,head,replace,77,0.7333333333333333
m04_final,m04_final_raw,focus_pilot_105,replace_position,middle,replace,52,0.49523809523809526
m04_final,m04_final_raw,focus_pilot_105,replace_position,tail,replace,69,0.6571428571428571
p1_joint_inference_only,m04_joint,focus_pilot_105,overall,all,delete,25,0.23809523809523808
p1_joint_inference_only,m04_joint,focus_pilot_105,overall,all,insert,4,0.0380952380952381
p1_joint_inference_only,m04_joint,focus_pilot_105,overall,all,replace,198,1.8857142857142857
p1_joint_inference_only,m04_joint,focus_pilot_105,replace_position,head,replace,77,0.7333333333333333
p1_joint_inference_only,m04_joint,focus_pilot_105,replace_position,middle,replace,53,0.5047619047619047
p1_joint_inference_only,m04_joint,focus_pilot_105,replace_position,tail,replace,68,0.6476190476190476
p1_substitution_inference_only,m04_substitution,focus_pilot_105,overall,all,delete,25,0.23809523809523808
p1_substitution_inference_only,m04_substitution,focus_pilot_105,overall,all,insert,4,0.0380952380952381
p1_substitution_inference_only,m04_substitution,focus_pilot_105,overall,all,replace,199,1.8952380952380952
p1_substitution_inference_only,m04_substitution,focus_pilot_105,replace_position,head,replace,77,0.7333333333333333
p1_substitution_inference_only,m04_substitution,focus_pilot_105,replace_position,middle,replace,53,0.5047619047619047
p1_substitution_inference_only,m04_substitution,focus_pilot_105,replace_position,tail,replace,69,0.6571428571428571
baseline,baseline_raw,full_unified_6884,overall,all,delete,1920,0.2789076118535735
baseline,baseline_raw,full_unified_6884,overall,all,insert,2240,0.3253922138291691
baseline,baseline_raw,full_unified_6884,overall,all,replace,2276,0.3306217315514236
baseline,baseline_raw,full_unified_6884,replace_position,head,replace,883,0.128268448576409
baseline,baseline_raw,full_unified_6884,replace_position,middle,replace,655,0.0951481696687972
baseline,baseline_raw,full_unified_6884,replace_position,tail,replace,738,0.1072051133062173
m04_final,m04_final_raw,full_unified_6884,overall,all,delete,1702,0.247239976757699
m04_final,m04_final_raw,full_unified_6884,overall,all,insert,2394,0.3477629285299244
m04_final,m04_final_raw,full_unified_6884,overall,all,replace,2347,0.3409355026147588
m04_final,m04_final_raw,full_unified_6884,replace_position,head,replace,908,0.1319000581057524
m04_final,m04_final_raw,full_unified_6884,replace_position,middle,replace,678,0.0984892504357931
m04_final,m04_final_raw,full_unified_6884,replace_position,tail,replace,761,0.1105461940732132
p2a_joint_train,m06_joint_train,full_unified_6884,overall,all,delete,1866,0.2710633352701918
p2a_joint_train,m06_joint_train,full_unified_6884,overall,all,insert,2349,0.3412260313771063
p2a_joint_train,m06_joint_train,full_unified_6884,overall,all,replace,2420,0.3515398024404416
p2a_joint_train,m06_joint_train,full_unified_6884,replace_position,head,replace,981,0.1425043579314352
p2a_joint_train,m06_joint_train,full_unified_6884,replace_position,middle,replace,656,0.0952934340499709
p2a_joint_train,m06_joint_train,full_unified_6884,replace_position,tail,replace,783,0.1137420104590354
p2a_sub_train,m06_sub_train,full_unified_6884,overall,all,delete,1938,0.2815223707147007
p2a_sub_train,m06_sub_train,full_unified_6884,overall,all,insert,2278,0.3309122603137711
p2a_sub_train,m06_sub_train,full_unified_6884,overall,all,replace,2410,0.3500871586287042
p2a_sub_train,m06_sub_train,full_unified_6884,replace_position,head,replace,972,0.1411969785008716
p2a_sub_train,m06_sub_train,full_unified_6884,replace_position,middle,replace,665,0.0966008134805345
p2a_sub_train,m06_sub_train,full_unified_6884,replace_position,tail,replace,773,0.112289366647298
baseline,baseline_raw,pilot_focus_105,overall,all,delete,19,0.1809523809523809
baseline,baseline_raw,pilot_focus_105,overall,all,insert,18,0.1714285714285714
baseline,baseline_raw,pilot_focus_105,overall,all,replace,193,1.838095238095238
baseline,baseline_raw,pilot_focus_105,replace_position,head,replace,68,0.6476190476190476
baseline,baseline_raw,pilot_focus_105,replace_position,middle,replace,55,0.5238095238095238
baseline,baseline_raw,pilot_focus_105,replace_position,tail,replace,70,0.6666666666666666
m04_final,m04_final_raw,pilot_focus_105,overall,all,delete,25,0.238095238095238
m04_final,m04_final_raw,pilot_focus_105,overall,all,insert,4,0.0380952380952381
m04_final,m04_final_raw,pilot_focus_105,overall,all,replace,198,1.8857142857142857
m04_final,m04_final_raw,pilot_focus_105,replace_position,head,replace,77,0.7333333333333333
m04_final,m04_final_raw,pilot_focus_105,replace_position,middle,replace,52,0.4952380952380952
m04_final,m04_final_raw,pilot_focus_105,replace_position,tail,replace,69,0.6571428571428571
p2a_joint_train,m06_joint_train,pilot_focus_105,overall,all,delete,43,0.4095238095238095
p2a_joint_train,m06_joint_train,pilot_focus_105,overall,all,insert,22,0.2095238095238095
p2a_joint_train,m06_joint_train,pilot_focus_105,overall,all,replace,192,1.8285714285714283
p2a_joint_train,m06_joint_train,pilot_focus_105,replace_position,head,replace,73,0.6952380952380952
p2a_joint_train,m06_joint_train,pilot_focus_105,replace_position,middle,replace,54,0.5142857142857142
p2a_joint_train,m06_joint_train,pilot_focus_105,replace_position,tail,replace,65,0.6190476190476191
p2a_sub_train,m06_sub_train,pilot_focus_105,overall,all,delete,44,0.419047619047619
p2a_sub_train,m06_sub_train,pilot_focus_105,overall,all,insert,20,0.1904761904761904
p2a_sub_train,m06_sub_train,pilot_focus_105,overall,all,replace,195,1.8571428571428568
p2a_sub_train,m06_sub_train,pilot_focus_105,replace_position,head,replace,76,0.7238095238095238
p2a_sub_train,m06_sub_train,pilot_focus_105,replace_position,middle,replace,52,0.4952380952380952
p2a_sub_train,m06_sub_train,pilot_focus_105,replace_position,tail,replace,67,0.638095238095238
