stage_variant,source_model_tag,eval_scope,note,subset_name,accuracy
baseline,baseline_raw,focus_pilot_105,focus pilot,OOV,0.2537313432835821
baseline,baseline_raw,focus_pilot_105,focus pilot,single,0.1619047619047619
baseline,baseline_raw,focus_pilot_105,focus pilot,hard,0.0526315789473684
baseline,baseline_raw,focus_pilot_105,focus pilot,long_21+,0.0
m04_final,m04_final_raw,focus_pilot_105,focus pilot,OOV,0.0
m04_final,m04_final_raw,focus_pilot_105,focus pilot,single,0.0
m04_final,m04_final_raw,focus_pilot_105,focus pilot,hard,0.0
m04_final,m04_final_raw,focus_pilot_105,focus pilot,long_21+,0.0
p1_substitution_inference_only,m04_substitution,focus_pilot_105,focus pilot,OOV,0.0149253731343283
p1_substitution_inference_only,m04_substitution,focus_pilot_105,focus pilot,single,0.0095238095238095
p1_substitution_inference_only,m04_substitution,focus_pilot_105,focus pilot,hard,0.0
p1_substitution_inference_only,m04_substitution,focus_pilot_105,focus pilot,long_21+,0.0
p1_joint_inference_only,m04_joint,focus_pilot_105,focus pilot,OOV,0.0149253731343283
p1_joint_inference_only,m04_joint,focus_pilot_105,focus pilot,single,0.0095238095238095
p1_joint_inference_only,m04_joint,focus_pilot_105,focus pilot,hard,0.0
p1_joint_inference_only,m04_joint,focus_pilot_105,focus pilot,long_21+,0.0
p2a_sub_train,m06_sub_train,pilot_focus_105,focus pilot,OOV,0.0895522388059701
p2a_sub_train,m06_sub_train,pilot_focus_105,focus pilot,single,0.0666666666666666
p2a_sub_train,m06_sub_train,pilot_focus_105,focus pilot,hard,0.0526315789473684
p2a_sub_train,m06_sub_train,pilot_focus_105,focus pilot,long_21+,0.0555555555555555
p2a_joint_train,m06_joint_train,pilot_focus_105,focus pilot,OOV,0.1044776119402985
p2a_joint_train,m06_joint_train,pilot_focus_105,focus pilot,single,0.0857142857142857
p2a_joint_train,m06_joint_train,pilot_focus_105,focus pilot,hard,0.0789473684210526
p2a_joint_train,m06_joint_train,pilot_focus_105,focus pilot,long_21+,0.0555555555555555
baseline,baseline_raw,full_unified_6884,full unified,OOV,0.6154324828873677
baseline,baseline_raw,full_unified_6884,full unified,single,0.8197845249755142
baseline,baseline_raw,full_unified_6884,full unified,hard,0.6293359762140733
baseline,baseline_raw,full_unified_6884,full unified,long_21+,0.7819790828640386
m04_final,m04_final_raw,full_unified_6884,full unified,OOV,0.6148102053515868
m04_final,m04_final_raw,full_unified_6884,full unified,single,0.8237022526934378
m04_final,m04_final_raw,full_unified_6884,full unified,hard,0.6372646184340932
m04_final,m04_final_raw,full_unified_6884,full unified,long_21+,0.7884151246983105
p2a_sub_train,m06_sub_train,full_unified_6884,full unified,OOV,0.6129433727442439
p2a_sub_train,m06_sub_train,full_unified_6884,full unified,single,0.8031341821743389
p2a_sub_train,m06_sub_train,full_unified_6884,full unified,hard,0.6144697720515362
p2a_sub_train,m06_sub_train,full_unified_6884,full unified,long_21+,0.7851971037811746
p2a_joint_train,m06_joint_train,full_unified_6884,full unified,OOV,0.6085874299937772
p2a_joint_train,m06_joint_train,full_unified_6884,full unified,single,0.8046033300685602
p2a_joint_train,m06_joint_train,full_unified_6884,full unified,hard,0.6095143706640238
p2a_joint_train,m06_joint_train,full_unified_6884,full unified,long_21+,0.7811745776347546
